Item,Quantity,Estimated Cost (INR)
Rice,5kg,250
Wheat Flour,5kg,200
Lentils (Toor Dar),1kg,100
Lentils (Masoor Dal),1kg,80
Salt,1kg,90
Sugar,2kg,100
"Cooking Oil (e.g.,Sunflower)",2 liters,200
"Spices (Turmeric, Cumin, Coriander,Red Chili Powder,Garam Masala, etc.)",500 g each,300
Eggs,2 dozen,120
Chicken (if non-vegetarian),1kg,300
Milk,5 liters,120
Curd (Yogurt),1kg,300
Paneer (Cottage Cheese),250g,250
Onions,2kg,50
Tomatoes,2kg,50
Potatoes,2kg,40
"Green Vegetables (Spinach, Cabbagem, etc.)",2kg,60
Bananas,2 dozen,40
Bread,4 loaves,80
Butter,200g,80
"Rice Sanacks,(e.g., Namkeen)",500g,100
Biscuits,500g,50
Tea Leaves,250g,50
Coffee (if you prefer),100g,30
Drinking Water (if you from tap),10 liters,50
Dishwashing Soap ,1 bottle,100
Laundry Detergent,1kg,150
All- Purpose Cleaner,1 bottle,40
Soap,4 bars,100
Toothpaste,2tubes,50
Toilet Paper,4 rolls,40
Trash Bags,1 pack,40
Toilret Paper,1 pack,60
,,
,6,3670
